epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,66623.2,0.99307,0.97358,1.12059,0.40501,0.14611,0.13278,0.08422,1.71002,2.90291,1.71407,0.000447606,0.000447606,0.000447606
90,67312,0.99153,0.97318,1.12098,0.4043,0.14497,0.13256,0.08411,1.711,2.9144,1.71503,0.00039264,0.00039264,0.00039264
91,68306.2,0.97451,0.88627,1.09784,0.40438,0.14476,0.13255,0.08399,1.71251,2.92892,1.7154,0.00034227,0.00034227,0.00034227
92,68982.2,0.96707,0.86836,1.09294,0.406,0.14256,0.13242,0.08384,1.71467,2.95378,1.71598,0.000296546,0.000296546,0.000296546
93,69657.2,0.9645,0.86272,1.09103,0.40885,0.14053,0.13218,0.08382,1.71497,2.97744,1.71647,0.000255513,0.000255513,0.000255513
94,70521.5,0.96306,0.85995,1.09116,0.40472,0.13998,0.13189,0.08385,1.716,2.99627,1.71725,0.000219212,0.000219212,0.000219212
95,71194,0.96172,0.85932,1.0899,0.38918,0.1383,0.13233,0.08411,1.71664,3.01119,1.71742,0.000187678,0.000187678,0.000187678
96,71868.5,0.96033,0.85745,1.08944,0.38715,0.13754,0.13199,0.08395,1.7168,3.02182,1.71774,0.000160943,0.000160943,0.000160943
97,72694.5,0.96023,0.8561,1.08915,0.39844,0.13696,0.13179,0.08378,1.71739,3.03295,1.71832,0.000139032,0.000139032,0.000139032
98,73367.4,0.95826,0.85421,1.08832,0.41348,0.13619,0.13165,0.08345,1.71839,3.04256,1.71869,0.000121968,0.000121968,0.000121968
99,74042,0.95903,0.85374,1.08815,0.41497,0.13536,0.13082,0.08295,1.71933,3.05274,1.71945,0.000109768,0.000109768,0.000109768
100,74854.4,0.95854,0.85145,1.08769,0.42365,0.13424,0.13029,0.08265,1.71956,3.06306,1.71978,0.000102443,0.000102443,0.000102443
