epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,6775.39,0.98558,0.91152,1.19303,0.84336,0.75529,0.83021,0.59539,1.02019,0.80722,1.19204,0.0004753,0.0004753,0.0004753
55,6894.16,0.97372,0.9018,1.18594,0.85552,0.74644,0.8308,0.5977,1.01471,0.80383,1.19024,0.0004654,0.0004654,0.0004654
56,7012.87,0.9601,0.88423,1.17645,0.84433,0.74866,0.83145,0.60043,1.01033,0.80046,1.18493,0.0004555,0.0004555,0.0004555
57,7128.63,0.96966,0.88957,1.1806,0.85696,0.73708,0.83041,0.60116,1.01238,0.79981,1.18521,0.0004456,0.0004456,0.0004456
58,7244.41,0.96139,0.88176,1.17748,0.84605,0.7512,0.83372,0.60153,1.01315,0.79788,1.18892,0.0004357,0.0004357,0.0004357
59,7360.44,0.96036,0.87746,1.17669,0.84394,0.75575,0.8351,0.60249,1.00931,0.79351,1.18775,0.0004258,0.0004258,0.0004258
60,7479.12,0.95528,0.86617,1.1729,0.83767,0.76022,0.8348,0.6041,1.00774,0.78873,1.18808,0.0004159,0.0004159,0.0004159
61,7594.99,0.95908,0.87055,1.17549,0.84321,0.75327,0.83581,0.60542,1.0059,0.78471,1.18757,0.000406,0.000406,0.000406
62,7714.07,0.95023,0.86082,1.16981,0.84824,0.74829,0.83456,0.60197,1.00555,0.78669,1.18643,0.0003961,0.0003961,0.0003961
63,7832.97,0.94645,0.8567,1.16879,0.84496,0.75226,0.83287,0.60228,1.00606,0.7849,1.18808,0.0003862,0.0003862,0.0003862
64,7951.85,0.94514,0.84503,1.16514,0.838,0.76078,0.83277,0.60502,1.00372,0.78616,1.18696,0.0003763,0.0003763,0.0003763
65,8070.6,0.93664,0.83758,1.15977,0.83297,0.76351,0.83371,0.60587,1.00222,0.78276,1.18618,0.0003664,0.0003664,0.0003664
66,8189.35,0.94557,0.84662,1.16683,0.83863,0.75504,0.83411,0.60472,1.00288,0.78344,1.1859,0.0003565,0.0003565,0.0003565
67,8307.98,0.93181,0.83573,1.15838,0.83767,0.75584,0.83247,0.60446,1.00125,0.77967,1.18339,0.0003466,0.0003466,0.0003466
68,8426.59,0.92834,0.82938,1.15509,0.8384,0.75567,0.83243,0.60531,1.00037,0.77888,1.18324,0.0003367,0.0003367,0.0003367
69,8545.53,0.92696,0.81946,1.15395,0.82894,0.7693,0.83451,0.60652,0.99951,0.77834,1.18115,0.0003268,0.0003268,0.0003268
70,8664.63,0.92556,0.82907,1.15636,0.83476,0.76436,0.83564,0.60785,0.99704,0.77705,1.1804,0.0003169,0.0003169,0.0003169
71,8783.67,0.92684,0.81514,1.15222,0.848,0.75552,0.83473,0.60802,0.99731,0.77529,1.17994,0.000307,0.000307,0.000307
72,8902.73,0.91766,0.81048,1.14987,0.84671,0.7634,0.83624,0.61089,0.99557,0.77115,1.17911,0.0002971,0.0002971,0.0002971
73,9021.7,0.91631,0.80576,1.15199,0.84249,0.76893,0.83854,0.61184,0.99504,0.76863,1.17923,0.0002872,0.0002872,0.0002872
74,9140.72,0.91438,0.80471,1.14584,0.84022,0.7746,0.83807,0.61248,0.99182,0.76881,1.176,0.0002773,0.0002773,0.0002773
75,9259.71,0.91198,0.79972,1.14809,0.84296,0.77283,0.838,0.6131,0.99064,0.76876,1.17568,0.0002674,0.0002674,0.0002674
76,9378.78,0.9066,0.8019,1.14337,0.84757,0.76485,0.83852,0.61308,0.98971,0.76583,1.17597,0.0002575,0.0002575,0.0002575
77,9497.83,0.9109,0.79213,1.14156,0.85324,0.7658,0.83866,0.61331,0.987,0.76488,1.17407,0.0002476,0.0002476,0.0002476
78,9616.85,0.8978,0.78138,1.13606,0.84853,0.76769,0.83872,0.6137,0.98483,0.76487,1.17325,0.0002377,0.0002377,0.0002377
79,9736.05,0.90315,0.78549,1.13865,0.853,0.76463,0.8375,0.61524,0.98401,0.76564,1.17298,0.0002278,0.0002278,0.0002278
80,9855.07,0.89841,0.7779,1.13502,0.85206,0.76671,0.83776,0.61568,0.98251,0.7655,1.17323,0.0002179,0.0002179,0.0002179
81,9974.17,0.89123,0.771,1.13438,0.85734,0.7649,0.83735,0.61595,0.98215,0.76457,1.17339,0.000208,0.000208,0.000208
82,10133.9,0.89471,0.77358,1.13282,0.86131,0.76174,0.83686,0.61562,0.98131,0.76297,1.17307,0.0001981,0.0001981,0.0001981
83,10262.1,0.8849,0.76384,1.12862,0.85018,0.76772,0.83762,0.61553,0.98104,0.7632,1.17283,0.0001882,0.0001882,0.0001882
84,10377.4,0.88879,0.76766,1.13262,0.85052,0.76798,0.83791,0.61588,0.97965,0.76239,1.17174,0.0001783,0.0001783,0.0001783
85,10495.8,0.88153,0.75707,1.12744,0.85461,0.76629,0.83814,0.61633,0.98011,0.76171,1.1718,0.0001684,0.0001684,0.0001684
86,10614.7,0.8789,0.7571,1.12508,0.85013,0.76727,0.8377,0.61601,0.97955,0.7611,1.17135,0.0001585,0.0001585,0.0001585
87,10730.1,0.88402,0.75425,1.12631,0.84675,0.77087,0.83778,0.61566,0.98016,0.75945,1.17195,0.0001486,0.0001486,0.0001486
88,10845.8,0.87292,0.74683,1.12074,0.849,0.76829,0.83694,0.61618,0.98001,0.75885,1.17194,0.0001387,0.0001387,0.0001387
89,10961.7,0.87019,0.74298,1.11925,0.85015,0.76748,0.83735,0.61575,0.97948,0.75824,1.1712,0.0001288,0.0001288,0.0001288
