epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,6322.1,0.44459,0.41645,0.94043,0.72317,0.59831,0.66825,0.47596,1.05013,1.11444,1.33807,0.0001486,0.0001486,0.0001486
88,6394.72,0.44131,0.41476,0.94052,0.73183,0.59316,0.66772,0.47633,1.04992,1.11632,1.33779,0.0001387,0.0001387,0.0001387
89,6467.43,0.44396,0.41266,0.94079,0.73529,0.59231,0.66811,0.47632,1.04972,1.11695,1.33742,0.0001288,0.0001288,0.0001288
90,6540.31,0.43923,0.40636,0.93819,0.74279,0.58717,0.66799,0.47672,1.04904,1.11756,1.33639,0.0001189,0.0001189,0.0001189
91,6614.27,1.01349,0.97822,1.28914,0.73591,0.59334,0.66805,0.47702,1.04798,1.11553,1.33543,0.000109,0.000109,0.000109
92,6684.1,0.97125,0.91541,1.24416,0.73837,0.59274,0.66849,0.4777,1.04636,1.11332,1.33406,9.91e-05,9.91e-05,9.91e-05
93,6753.8,0.95162,0.88691,1.22846,0.73973,0.59495,0.669,0.47864,1.04408,1.111,1.33203,8.92e-05,8.92e-05,8.92e-05
94,6823.64,0.94459,0.87277,1.21989,0.74238,0.59356,0.66953,0.47965,1.04224,1.10959,1.33029,7.93e-05,7.93e-05,7.93e-05
95,6893.54,0.93659,0.86107,1.21467,0.74371,0.59311,0.67036,0.48107,1.04061,1.1079,1.32862,6.94e-05,6.94e-05,6.94e-05
96,6963.25,0.93033,0.85248,1.21429,0.7433,0.59307,0.67072,0.4818,1.03858,1.10614,1.32617,5.95e-05,5.95e-05,5.95e-05
97,7032.86,0.92299,0.8405,1.207,0.7382,0.59545,0.67128,0.48283,1.03671,1.10677,1.32322,4.96e-05,4.96e-05,4.96e-05
98,7102.7,0.92016,0.83524,1.20221,0.73729,0.59838,0.67195,0.48423,1.03567,1.10836,1.32108,3.97e-05,3.97e-05,3.97e-05
99,7172.58,0.91632,0.82806,1.19839,0.73683,0.59954,0.67232,0.48526,1.03454,1.10944,1.31918,2.98e-05,2.98e-05,2.98e-05
100,7242.34,0.91332,0.82835,1.19836,0.73753,0.59933,0.67242,0.48603,1.0329,1.1087,1.31709,1.99e-05,1.99e-05,1.99e-05
1,134.738,1.00257,1.23477,1.21722,0.29406,0.22653,0.16013,0.08661,1.7389,3.02934,1.99964,0.0670685,0.000332642,0.000332642
1,86.9294,0.97802,1.3578,1.22409,0.31803,0.26491,0.19457,0.11537,1.4523,2.78442,1.70474,0.0671369,0.00033195,0.00033195
2,174.466,1.0387,1.21875,1.27569,0.19204,0.15967,0.11339,0.05865,1.57818,3.18646,1.92955,0.0341369,0.000665243,0.000665243
3,261.736,1.06257,1.25177,1.28802,0.29133,0.2344,0.17921,0.09405,1.64314,2.82965,1.96659,0.00113669,0.000998373,0.000998373
4,349.154,1.00564,1.12918,1.25342,0.42137,0.33763,0.31305,0.1706,1.53483,2.42822,1.78232,0.00099945,0.00099945,0.00099945
